overall,vote,verified,reviewTime,reviewerID,asin,style,reviewerName,reviewText,summary,unixReviewTime,image
5.0,,True,"12 15, 2016",A21DFCHCYUVUMP,B00MV9H6VY,,Bettie Rage,arrived immediately had to call in and not use internet though,Good purchase,1481760000,
5.0,2,True,"04 19, 2013",A1FX3MLB6EEE7U,B004Q7CK9M,{'Gift Amount:': ' 50'},Vicky Bennett,I find Amazon gift cards to be the best gift cards on the market. The person receiving it can purchase almost anything they want/need at one place without being stuck shopping at a particular store. Love them!,Great gift for those whom you have no idea what to guy.,1366329600,
5.0,,True,"01 3, 2015",A20GKVF9R3UMH9,B00P9VEQF0,,brice,Great gift,Five Stars,1420243200,
5.0,,True,"03 9, 2016",A2WEYZJBOGT69F,B00G4IWEZG,,Lady Di,Great service! I have used Amazon gift cards in the past and will continue to use them!,Five Stars,1457481600,
5.0,,True,"05 24, 2018",A6Y10WXUZ7QDD,B009HE86FQ,,LeRoy,True as advertised on. THANKS,Five Stars,1527120000,
5.0,,True,"08 20, 2012",A7WH560VVUXB2,B004Q7CK9M,,Kevin M. Derby,Amazon gift cards are great to give and receive of course. They promise almost instant service--and promptly deliver. I ordered a gift card for a birthday and Amazon sent it out next day UPS at no additional cost. Not every company does that. I can't speak highly enough of the service Amazon provided and cheerfully recommend their gift cards for others--or for others to send me.,Wonderful to Get and Give,1345420800,
4.0,,True,"02 9, 2016",A1WLZR83MIWA16,B00UXLIQNY,{'Gift Amount:': ' 250'},Sal,"This is a great teddy bear. Very soft and seems like good quality. I just didn't care for the amazon logo, but I understand the need for it to be placed on the bear. Reminds me of the amazon phone, which amazon thought it would be best to have a big noticeable logo, so everyone will know where's it's from.",This is a great teddy bear,1454976000,
5.0,,True,"12 21, 2013",A1REZUQZMJUFW2,B005ESMJ02,{'Gift Amount:': ' 100'},Lovesbooks,This was presented very well and came in a wonderfully attractive box. It gives the illusion that there's a ribbon wrapped all over the box when in fact the ribbon is only on the top layer. Everything looks great and I think my dad will think so as well when I present this to him for his birthday in a few months. This is a great gift idea and makes the gift card look bigger than it actually is. Definitely 5 stars.,Wonderful Presentation,1387584000,
4.0,,True,"01 19, 2014",A3I6GUO0IRRT52,B00G4IWEZG,,Irene Fontaine,"Let's recipient choose thei items they are most interested in. They are able to acquire favorite author or title
They are wanting.",Easy shopping and excellent delivery,1390089600,
5.0,,True,"01 5, 2015",A1CZNPPKJ5HQC7,B00JDQKFPC,,rapking64,Great Christmas gift for anyone.,Five Stars,1420416000,
5.0,,True,"08 17, 2016",A17PNMW2Z3WWPG,B00E1QAXWO,,MarG,"Nice gift, and very good option when you are far away!",Five Stars,1471392000,
5.0,,True,"12 4, 2017",ATMHUUSXKRZWC,B00KV30IHG,,Kjb,arrived quickly.  Great deal,Great deal,1512345600,
5.0,2,True,"02 23, 2017",A1J2YIPCE9PHCQ,B006PJHPKI,,K Maffei,"What's to say?

I love a good deal, so a lightning deal of $40 for a $50 gift card is a no-brainer for a store where we like to shop.  Of course, maybe we splurged a bit more while shopping, knowing we had the card in hand.  Still, we got plenty for what we paid.

In case there's any question: yes, it worked just fine, no need to activate, no problems using it.  It's simply a gift card ready to use,  It comes as pictured, so it would also be just fine as a gift.",yes it's a gift card,1487808000,
3.0,,True,"10 2, 2013",A2LI2UIQ62Q6Y6,B00CHSWGR8,,Ursula Ron,"I like the service, comes in handy for our colleagues abroad (holidays, birthdays,etc.)
For Jewish holidays (traditionally Jewish employees get presents for Pessach and Succot) you have no template and I have no time to upload my own design.
Other than that - Amazon Gift Cards Rock!",Not enough templates,1380672000,
3.0,,True,"01 20, 2013",A1QVH2YX5WS0VV,B0069VHL5Q,,S. Anderson,"Great idea for kids to color gifts for teacher's holiday gifts, but I wish there were more than one picture to choose from.  My son colored the same picture over and over!",more options?,1358640000,
5.0,,True,"06 19, 2015",A3P1BKG4VICXCE,B00AF0K90Q,,Linde Carley,Great gift idea!,Five Stars,1434672000,
5.0,,True,"06 27, 2016",A24W6D0K7ZYQ6P,B00GU2ZZ8Y,,Rhody Reader,No troubles using!,Easy to use!,1466985600,
5.0,,True,"10 28, 2017",A1273VNEHM755W,B00P8N4ISE,,ISIDRO CASTILLO,Excellent,I like it,1509148800,
5.0,,True,"12 28, 2016",A3MA0IM3OW7DOZ,B004Q7CK9M,{'Gift Amount:': ' 25'},Bobbie T.,"Gift card comes in a good quality Christmas card.  I happen to love animals, and I'm glad there was an adorable choice of a cat and dog; bought gift cards in both animals.  The recipients remarked how cute the dog and cat were on each Christmas card.",Gift card comes in a good quality Christmas card,1482883200,
5.0,,True,"12 6, 2016",A28PCY46E8688T,B0091JL3OI,,M. Kretsinger,Great gift in a darling box!,Five Stars,1480982400,
5.0,,True,"06 23, 2016",A3MKZ1QL3D7ZV0,B004Q7CK9M,,CJ Kocher,"Great gift for my Mother in Law, who has everything.",Five Stars,1466640000,
5.0,,True,"12 29, 2016",A3FQNE531MKW59,B0091JL3OI,{'Gift Amount:': ' 0'},John Bruce Hill,Makes shopping so much easier.,Great way to shop,1482969600,
4.0,,True,"04 12, 2018",AT7VMIYU7WQVA,B01E4QPDV6,{'Gift Amount:': ' 0'},CJ,"The gift cards are very convenient and certainly is something everyone with a computer can use.  I hate it is not as personal as a  regular gift, but, now a days gift cards save time and allow people to buy what they need or more importantly at least helps pay for something s/he wants.",I hate it is not as personal as a regular gift,1523491200,
5.0,,True,"06 20, 2016",A2XFGA3NEMZI9E,B014S24DAI,{'Gift Amount:': ' 50'},hina38,"I couldn't think of the perfect gift; however knew Amazon had pretty much everything on anyone's wish list.  So purchased this gift card with the beautiful packaging!  It arrived on time as stated and most of all, the card holder was great! It gave the gift card that extra sparkle that I was looking for! :)",Great gift!,1466380800,
5.0,,False,"05 14, 2016",A3EXN07YUC7AAA,B00GDHVSYG,,Kristie,Great,Five Stars,1463184000,
5.0,,True,"12 11, 2017",A237D707HO6LT1,B01E4QPDV6,{'Gift Amount:': ' 0'},Misraim R.,The box looks great and arrived on time.,Five Stars,1512950400,
5.0,,True,"01 30, 2014",A2LAVI429V6OQ5,B00GXSCLI2,,HBerry,"I'm not sure why Amazon even lets you write reviews on their own gift cards. You can literally buy almost anything here from shoes to smokers to adult toys.

You get Amazon Prime and you get free two day shipping on almost all of it.

The world is a wonderful place. Buy a gift card for a loved one - or for yourself if you want to feel special.",Its a sarcastic Amazon gift card... what more could you ask for?,1391040000,
5.0,,True,"04 15, 2015",A10M1KL8TZOXQB,B004LLIKY2,,firegirl222,This was given to a friend for her birthday,love amazon!,1429056000,
5.0,,True,"01 17, 2017",ASWJYDUI75UD2,B0091JKVU0,{'Gift Amount:': ' 100'},capengin11,great gift,Five Stars,1484611200,
4.0,,True,"02 17, 2016",A63RV1KFZOJ68,B00FGEHKXU,,michelle a foss,great purchase,Four Stars,1455667200,
5.0,,True,"11 5, 2016",A41BRC1ALLDXQ,B0091JKVU0,{'Gift Amount:': ' 200'},ophewathun,"If you're going to give a gift card at this level, the snowflake tin is an attractive way to do it.",Attractive tin,1478304000,
5.0,8,True,"02 12, 2016",A2SFI10BXCCSYZ,B00BXQIGA6,,Bob E. May,"There are many ways to put a smile on your daughter's face and this gift card through Amazon, is the best way to go......so rather than shop at a retail outlet, where they have a kiosk style set up to pick various gift cards, I choose to simply get online, go to Amazon, which is shopping heaven for the working man, or Dad in this case, and I select the card, select ""gift"" and in about five minutes they have a nice gift card for my daughter's favorite shopping spot, it's sent in the mail, and my what a reaction I get from her,  as she calls me to say how wonderful and thoughtful I am. This is the second time I have surprised her, and it's a quiet and unassuming way to let my kid know she is trying hard, working hard, and a little gift like this, goes a long, long, way.",AMAZON MAKES IT SIMPLE TO PUT A SMILE ON MY DAUGHTER'S FACE!!!,1455235200,
5.0,,True,"09 4, 2018",AGXOCK745ZWLR,B01CZ54L66,,Janet/ Kindle Customer,"This is a good gift for any make-up lover. Even if you don't live near an Ulta store, they have a website. The card worked as it should, with no issues.",No problems,1536019200,
5.0,,True,"01 21, 2017",ABUPBORJJPPFL,B00MV9OQYO,,P. Beatty,"E-Z to use, prompt delivery & ZERO cost !!!",Five Stars,1484956800,
2.0,,True,"06 8, 2015",A12B46U2SJ5AIZ,B00BXLW4Q8,,joanne schutz,location to far from our home.,Two Stars,1433721600,
1.0,,True,"07 17, 2015",A3UKO5F1NS4ONK,B00BT1XEB6,,viswaa88,"Checked with recipient after a week to find out to my horror that they didn't receive it.
It was embarassing!
Resending multiple times didn't work.
Resending to different email address worked.",Email Undelivered !!!!,1437091200,
5.0,,True,"06 27, 2015",A1C9Y5VNIJN9UA,B00CHSWIVC,,Wendy,"This was a perfect way to give money, awesome!",Five Stars,1435363200,
5.0,,True,"03 15, 2014",A3UBZPW9INWVDU,B00PMOT1L8,,RStraus,Easy to n print & use.,Five Stars,1394841600,
5.0,,True,"02 19, 2015",A1D4ZTI5RSTNHI,B00G4IV2VI,,Daniela Pereira,excellent. thanks,Five Stars,1424304000,
5.0,,True,"06 13, 2012",A2C851D8PRIJVR,B004LLILEG,,fdazmi,I bought the gift card for my friends birthday and he was so happy about it. Took about 5 minutes before the code was sent to his e-mail. Definitely will buy more gift card in the future.,Simply amazing,1339545600,
1.0,2,True,"01 25, 2018",A2K4UTXTFY15IM,B00KV30IHG,,Jess,The person I bought this for went to go activate this card and it said it was not active by the retailer.,Do not buy!,1516838400,
5.0,,True,"06 20, 2015",AOO33FCDOXITD,B00MN5VAWC,,Alejandro Otero,A+,Five Stars,1434758400,
5.0,,True,"07 23, 2016",A35P8BJFI6IIBO,B00JDQKFPC,,Chatelle,The silver tin is very impressive! I've ordered several as gifts...,Silver Tin very impressive!,1469232000,
5.0,,True,"10 26, 2016",A15NHGBVPGH077,B00MV9H6VY,,Diane Kenny,Great had the e-mail within minutes,Five Stars,1477440000,
5.0,,True,"08 4, 2015",A2UX2TJOG86U5V,B00CHSWGFU,,TAOHAOTAO,it is good,Five Stars,1438646400,
5.0,,True,"03 4, 2013",A1A7JJJOI9ZA0Y,B004KNWWU4,,J. Hill,"How can you go wrong? It's a great gift for anyone, especially myself! There's always something there for every one.",Gift Cards,1362355200,
5.0,,True,"01 18, 2018",AF5GMMZNRYEH6,B0078EPRPE,,Rupert,"Got this for my 90 year old mom, she's very pleased.",Good gift,1516233600,
5.0,,True,"05 11, 2018",A10OSXRBWGKSRY,B00AF0K82U,,BGA,Who doesn't love an Amazon gift card.,Five Stars,1525996800,
5.0,,False,"07 30, 2016",AHCC6VWVPZU94,B00AR51Y5I,,mstran,"Same reason I buy Peet's Card, I also buy Starbucks cards when I can when it gets discounted.  I love my Venti Vanilla Latte and sometimes I'll also go for a Frap.  I work in downtown area and there's literally a Starbucks on every block.  So getting discounted coffee is a must.","I love Starbucks, and I love it even more when I can get it discounted.",1469836800,
1.0,,False,"12 18, 2015",A24YOGQHI826AF,B00ISCEAMG,,Andrew,I don't know how to buy this,how do you buy this,1450396800,
5.0,,True,"01 15, 2016",A1XYUWKI133MTO,B00MOWEHIS,,Jennissee,"I love lightning deals. I love gift cards. I love lightning deals on gift cards. Twenty percent off = a happy Amazon shopper. Plus, Steak 'n Shake does 1/2 price milkshakes from 2-5 (am & pm) every weekday! Keeping these this time around.",A gift to myself cause I love milkshakes!!,1452816000,
5.0,,True,"09 5, 2015",A34ZKTG4IKUC9S,B00F3ZMTO2,{'Format:': ' Online Code'},Diego Feliciano,"It was quickly when I receive the code,thanks",quickly and good,1441411200,
5.0,,True,"06 11, 2013",A3NIM5M7LUXI5H,B004LLIKY2,,Wendy Huffman,Amazon made buying a graduation present so easy... I searched all of the place to find the right gift for a friend who owns a Kindle and loves to read!  Thank you!,Talk about quick and easy,1370908800,
5.0,,True,"06 12, 2018",A1QNJLAWS52XD6,B01FYJMJHI,,Avery Lane,Worked perfectly no issues at all. I printed it out before going to the store.,Five Stars,1528761600,
5.0,,True,"04 22, 2016",A3A1UMA2KH3EB6,B00JDQJZWG,,Hema,Very beautifully wrapped,Five Stars,1461283200,
5.0,,True,"08 15, 2016",A39EM8KIZO4KQF,B014S24DAI,{'Gift Amount:': ' 50'},E Lopez,"So nice to keep one of these on hand.  Never know when something unexpected comes up and you have a great gift, waiting.  Everyon is excited about getting an Amazon card.",So nice to keep one of these on hand,1471219200,
3.0,,True,"04 30, 2017",A20S4V1SBLGLV2,B00H5BMIHA,,Joyce Wells,"My son was happy to receive this as he uses Amazon frequently. Only thing, they forgot to notify him.  When I mentioned it he had no idea what I was talking about.  I could have spent $100 and never would know it. He straightened it out.",Amazon eGift card,1493510400,
5.0,,True,"12 29, 2016",A2Q8MX7ZTJU4SX,B01E4QUN0W,{'Gift Amount:': ' 75'},Amazon Customer,Super cute!,Five Stars,1482969600,
5.0,,True,"01 28, 2015",A2GIF9AOAZSGQA,B00P8N3QLY,,Sandra Kester,"Hard to buy for son-in-law, Amazon gift card is the perfect fit.",Amazon gift card is the perfect fit.,1422403200,
5.0,,True,"04 17, 2014",AA6C78DHRK962,B00BXLW5QC,,Elector,"Was able to use it with no issue. Some fairly good food here, but you need to skip the yoga mat compound stuff.",Okay,1397692800,
5.0,,True,"08 24, 2015",AJMKLSCT8SYF6,B00H5BMH44,,Judy Noble,great value and the recipient LOVED it!!!!!!!!!!,Five Stars,1440374400,
1.0,3,True,"08 16, 2016",A3586KCTUQWQC2,B00MV9H6VY,,Levi,Gift card wouldn't redeem online at dominos.commwhat absolute trash,Don't Buy,1471305600,
5.0,,True,"06 18, 2018",A2G2XZ60M51ENA,B00PG23QFI,,KIM,Great for gift,Five Stars,1529280000,
5.0,,True,"03 3, 2015",A2858LT451Z42I,B004LLIKWO,,Zorro,How convenience it is.,Five Stars,1425340800,
5.0,,True,"01 22, 2016",A380ZN8JGGU53O,B00MV9GGEC,,masons_mom,Quick and easy,Five Stars,1453420800,
5.0,,True,"04 4, 2015",A12GB3SDHV0AQL,B0066AZGD4,,Kristen Walker,Great!,Five Stars,1428105600,
5.0,,True,"08 4, 2015",AEIJHFREV3YKH,B00H5BNRVQ,,Kindle Customer,The kids were very pleased and now have an adorable bathroom decorated in an outdoors look.,Happy Newlyweds,1438646400,
5.0,,True,"10 8, 2014",A3QVCHS1NZA84Z,B00H5BMF00,,LNoland,Amazon Gift Cards are always appropriate!  =),Five Stars,1412726400,
5.0,,True,"03 9, 2017",A13QMZDG29CG5E,B00P3DUFRW,,Brian S.,Things like this help get other great things,A great thing for other great things,1489017600,
5.0,,True,"08 20, 2015",A12O0W8EPZR1NM,B007V6ETDK,,Barbara Linsky,Received on time and you let me know it was delivered.,Five Stars,1440028800,
5.0,,True,"03 30, 2014",A2SG98Z1B7BBCC,B00E1QAXWO,,Rivvy Meloff,It was exactly what I was looking for. It was totally appropriate as a get well gift and my brother really appreciated it.,Very good get well gift.,1396137600,
5.0,,True,"08 9, 2016",A388P17JB1NBQ9,B00H5BMH44,,Amazon Customer,NONE,Five Stars,1470700800,
1.0,,True,"12 17, 2017",A2LWI8M427T2Y9,B00AR51Y5I,,Yunks,Package arrive in horible condition. Looks used,One Star,1513468800,
4.0,,True,"02 25, 2014",ALBWT6BKYKLCT,B00BT1XF5Q,,Mathew,I really like that Amazon allows so much customization already but I was looking for a going away template but there was none. A template with words that you can key in will make a great interface better!,Customisable templates will be better,1393286400,
5.0,,True,"07 5, 2016",A198CLACKDDY79,B0145WHFB0,,Lucy,"Easy, quick way to send a baby shower gift!",Five Stars,1467676800,
5.0,,True,"02 16, 2018",A2RY3NVSD73V2,B0091JKY0M,{'Gift Amount:': ' 0'},Judy S. Miller,Given as Christmas gifts.  They enjoyed.,They enjoyed.,1518739200,
5.0,,True,"01 2, 2014",A31JSY7JWX3UP8,B00B2TFKHG,,Judy Severance,"I bought it for my Granddaughter who lives out of State. With the birth of her first baby, I thought she would know more what she needs then I would. She tells me it was a wonderful gift, because she could shop from home and get everything she needed.
I would recommend this for anyone and for any occasion.",Gift Cards are great,1388620800,
5.0,,True,"02 8, 2018",A1KW88K52KMAK5,B004LLIKVU,{'Gift Amount:': ' 50'},Christina Bohning,Great gift card!,Five Stars,1518048000,
5.0,,True,"02 22, 2018",ABEPARUOWUNYT,B004LLIKVU,{'Gift Amount:': ' 50'},Roy Wathen,Granddaughter loved it.,Fast and easy.,1519257600,
5.0,,True,"06 9, 2016",A317U8GJX18L03,B00AF0KAI2,,The Lass,Great... What's not to like about a gift card! And I like that it can be more fun than just a boring email.,Great..,1465430400,
5.0,,True,"06 16, 2017",A1SR3BAXINO8SA,B00P3DUFRW,,Shannon S,Great value,Great value,1497571200,
5.0,,True,"01 25, 2013",A3GXLNX76F3SJJ,B004KNWX3U,,bunnylover,Great for that last minute gift you didn't know you needed to buy.  Works great for the bookworm in your life.  Easy and fast!,Convenient and Easy,1359072000,
1.0,,False,"01 3, 2017",A3TD44YOIDE07V,B004Q7CK9M,{'Gift Amount:': ' 100'},Susan Thorp,"I sent 2 $100 gift cards as Christmas gifts. Each was to have included a personal message from me. I sent a similar gift card ($50) to my niece as a baby gift in Nov. It also was to have included a personal message from me. After not hearing from the recipients.......I wasn't expecting a 'thank-you' , I just wanted to assure they had received the cards....... It was very embarrassing for me to have to ask each person if they had received the gift cards. It turns out, each person had received the cards, but NONE of them knew who the cards were from. There was not an included message, or even an indication who had sent the gift. I have contacted Amazon customer service to address this issue, but I want to address it here as well, so noone else has to embarrass themselves, or have it appear that you never sent a gift at all.",Personal message was NOT included,1483401600,
5.0,,True,"01 13, 2017",A3DG7YM31EY03I,B01E4QQ6QM,{'Gift Amount:': ' 100'},Elaine McLenaghan,Very cute!!!,Five Stars,1484265600,
5.0,,True,"05 27, 2016",A3S1ACNXVVJJPE,B014S1KPKG,{'Gift Amount:': ' 40'},Nancy A Hurst,"Great, it came in two days and was just in time for her BD. She spent it the next day!","Great, it came in two days and was just ...",1464307200,
5.0,,True,"04 24, 2016",A3GI2SXDXQK5WV,B00ET5WBU4,,Esteban Vasquez,Works,Great deal,1461456000,
5.0,,True,"07 24, 2013",A1W7FBAKFXUA2G,B004LLILBY,,nag,"I bought it to put it in my account, so that I can use it for subsequent buying on the amazon. That makes the transactions easy and frees from the hassle of credit card.",Speedy delivery.,1374624000,
3.0,,True,"08 22, 2013",AF6SHIUZHT0BU,B004LLILBY,,russianflower,"thanks for the card. I love this place allot of stuff here.  n I needed  this just to have fun, thanks",ty,1377129600,
5.0,,True,"01 2, 2017",A1JYGCTT1N13BR,B00G4IV2VI,,Jose Gomez,100% very good..!!,Five Stars,1483315200,
5.0,,True,"08 11, 2015",A2HFPLIUV7BZGH,B00MV9L0PW,,Thomas Brasket Jr,Friend that I sent too enjoyed it.,Five Stars,1439251200,
5.0,5,True,"03 22, 2016",A3DAN2M0RLQVXR,B016PASXA2,,Clara,"What I liked most is the fact that I can order Amazon gift cards to be delivered the next day. Also, the great variety I can choose from.",Fast service,1458604800,
5.0,,True,"01 10, 2017",ASAL8Z6P401DI,B01E4QUN0W,{'Gift Amount:': ' 25'},SCOTT KELKER,Was  Given as a Christmas present from ME  to MY mom. (she  LUVED IT!!)  CAME  IN HANDY for her.,Was Given as a Christmas present from ME to MY ...,1484006400,
5.0,,True,"03 13, 2018",A2IIQ739J1K24G,B004LLIKVU,{'Gift Amount:': ' 50'},Yvonne Crowe,Did the job it was meant to,Good choice,1520899200,
5.0,,True,"06 21, 2013",A18L0LPSLFBJWU,B00C5UMEMA,,Bernard R. Woodruff,Great option to have for all those kindle users out there. Especially when family members are not local and this can be used last minute gift item that arrives immediately. Thanks!,Great idea. Thanks!,1371772800,
5.0,,True,"07 7, 2014",A1HDRUIP1GGLXH,B004W8D0Y4,,jamie,A great way to put money on kids kindles especially were the amount can be set less than $20.00.,Five Stars,1404691200,
5.0,,True,"01 20, 2017",A3GWK9B5CH0I1Z,B0091JKY0M,{'Gift Amount:': ' 0'},Letitia R. Winchester,"Best gift card to give someone, because everyone uses Amazon!",Five Stars,1484870400,
5.0,,True,"01 8, 2018",A1JQLKSILJKZMG,B0091JKVU0,{'Gift Amount:': ' 0'},nalc,Makes a nice gift.,Amazon always makes a nice gift!,1515369600,
1.0,2,True,"05 26, 2017",A14PEO83U2SXN3,B01FYJMJHI,,Horsefabio,Half of employees are not trained on how to use these.  Very stressful.,Too much trouble.,1495756800,
5.0,,True,"12 28, 2016",A2050LITK7YQ5U,B01E4QUN0W,{'Gift Amount:': ' 25'},Danae,It was exactly what I expected and it was nice getting a free tin for the card.,Five Stars,1482883200,
5.0,,True,"06 21, 2016",A28GWUYQQ0UO1V,B00BT1XFBU,,Sherell C.,"I use Amazon gift cards for prizes for my business social media games.  They are perfect,  because you can get just about anything on Amazon!","They are perfect, because you can get just about anything on ...",1466467200,
5.0,,True,"05 18, 2014",A2YLFRMWPNVTFF,B007V6ETDK,,Pat Wilson,"I choose Amazon gift card because our family is in different states. We use Amazon a lot and so do our children and grandchildren. This just makes it so much easier to send gifts that each person really would like.
I was especially pleased with how quickly the gift card was handled. I made a error and my error was corrected and credited promptly. I could not have been more pleased with the transactions.",Gift card,1400371200,
5.0,,True,"03 28, 2016",A3O7S49HRVIT4R,B005ESMJ02,,Rosie,Great gift for anyone who is a frequent shopper!,Five Stars,1459123200,
5.0,,True,"03 23, 2017",A18GJ9MYYO6GCQ,B00JDQKFPC,,Just ask me!,This cute box is a nice bonus when one is giving an Amazon gift card.,An Amazon card is the best gift,1490227200,
5.0,,True,"04 9, 2018",A39NFSEF7BLR7M,B0091JKVU0,{'Gift Amount:': ' 0'},ACP,Great gift box,Five Stars,1523232000,
5.0,,True,"08 26, 2017",A1060W1DWQD8TZ,B00JDQJZWG,{'Gift Amount:': ' 0'},Amazon Customer,"My friend has already used her gift card.  She loves Amazon, too.",Five Stars,1503705600,
5.0,,True,"11 23, 2015",A2WLF2KWBZTMYW,B00B2TFNIW,,Coastie,"It's a gift card and he's having a baby girl. He is so screwed so we figured that a gift card would help ease his pain. Don't get me wrong, we are all happy for him, he just doesn't have any idea what he is in for. Sleepless nights followed by talkback and eventually chasing boys away. If amazon sold booze this would probably be more useful to him...",It's a gift card.,1448236800,
4.0,,True,"04 30, 2013",A3SDNJM15D1R2L,B00BSXWOLG,,Amazon Customer,Picking the card and assigning the money value was trickier than necessary. But it is a good way to send gifts to my overseas family.,Gift Card,1367280000,
5.0,,True,"08 15, 2016",A567WNM87C43,B00P9VF3DE,,Lynnette A.,I loved that it was email delivery. It was a gift it worked out perfectly,Five Stars,1471219200,
5.0,,True,"01 18, 2015",A2MWBMTG3SXGR3,B00G4IW690,,ELLEN ALLEN,"Always a great gift. Recipient is an Amazon""ite""so was wellreceived.",Five Stars,1421539200,
5.0,,True,"02 3, 2015",A3BBGZ9OPGAKQW,B00Q5BOSYC,,Lori Hieston,Instant gift! No problems!,Five Stars,1422921600,
5.0,7,True,"01 10, 2015",A1Y9JR3IAIWGZU,B00FTGFFOG,,Sadie,Great Christmas gifts for family and friends,everyone loved them,1420848000,
5.0,,True,"08 2, 2014",A39VP8I0ATNCB1,B00H5BNBJ4,,Durbeeball,This Family Guy clip is versatile AND hilarious. I've used it for several different occasions with the recipients loving it!,And hilarity ensues...,1406937600,
5.0,,True,"08 10, 2016",A3E8WQAYOEFTB5,B0066AZGD4,,John,What better way to tell someone you love them then by giving them amazon money?,Five Stars,1470787200,
5.0,,True,"12 8, 2015",A22SGS98TREQYT,B004Q7CK9M,,Amazon Customer,"love this, it is a very good quality card. Also free one day shipping that comes with this card is great. Quick fix for last minute gifting.",Quick fix for last minute gifting.,1449532800,
